drink_id,name,type,temperature,sugar_level,caffeine_level,ingredient_ids,tags,popularity_score
263,Mocha,coffee,hot,regular,medium,"[10, 19, 36]","['coffee', 'dessert']",0.75
264,Mocha,coffee,hot,regular,medium,"[10, 19, 36]","['coffee', 'dessert']",0.75
265,Mocha,coffee,hot,regular,medium,"[10, 19, 36]","['coffee', 'dessert']",0.75
266,Caramel,other,hot,regular,medium,"[10, 16, 36]",['menu_item'],0.75
267,Caramel,other,hot,regular,medium,"[10, 16, 36]",['menu_item'],0.75
268,Caramel,other,hot,regular,medium,"[10, 16, 36]",['menu_item'],0.75
269,Java Chip,other,hot,regular,medium,"[10, 36]",['menu_item'],0.75
270,Java Chip,other,hot,regular,medium,"[10, 36]",['menu_item'],0.75
271,Java Chip,other,hot,regular,high,"[10, 36]",['menu_item'],0.75
272,Strawberries & Crème (Without Whipped Cream),other,hot,regular,none,"[10, 36]",['dessert'],0.75
273,Strawberries & Crème (Without Whipped Cream),other,hot,regular,none,"[10, 36]",['dessert'],0.75
274,Strawberries & Crème (Without Whipped Cream),other,hot,regular,none,"[10, 36]",['dessert'],0.75
275,Strawberries & Crème (Without Whipped Cream),other,hot,regular,none,"[10, 36]",['dessert'],0.75
276,Strawberries & Crème (Without Whipped Cream),other,hot,regular,none,"[10, 36]",['dessert'],0.75
277,Strawberries & Crème (Without Whipped Cream),other,hot,regular,none,"[10, 36]",['dessert'],0.75
278,Strawberries & Crème (Without Whipped Cream),other,hot,regular,none,"[10, 36]",['dessert'],0.75
279,Strawberries & Crème (Without Whipped Cream),other,hot,regular,none,"[10, 36]",['dessert'],0.75
280,Strawberries & Crème (Without Whipped Cream),other,hot,regular,none,"[10, 36]",['dessert'],0.75
281,Vanilla Bean (Without Whipped Cream),other,hot,regular,none,"[10, 15, 36]",['dessert'],0.75
282,Vanilla Bean (Without Whipped Cream),other,hot,regular,none,"[10, 15, 36]",['dessert'],0.75
283,Vanilla Bean (Without Whipped Cream),other,hot,regular,none,"[10, 15, 36]",['dessert'],0.75
284,Vanilla Bean (Without Whipped Cream),other,hot,regular,none,"[10, 15, 36]",['dessert'],0.75
285,Hot White Chocolate Mocha,coffee,hot,regular,medium,"[3,4,18,33]","['comfort','dessert']",0.88
286,Iced White Chocolate Mocha,coffee,iced,regular,medium,"[1,4,18,36]","['dessert','house_favorite']",0.86
287,Toasted Pistachio Latte,coffee,hot,half,medium,"[3,13,21,33]","['comfort','nutty','seasonal']",0.84
288,Caramel Brulee Latte,coffee,hot,regular,medium,"[3,11,21,33,24]","['dessert','seasonal','warm_spice']",0.85
289,Chai Oat Latte,tea,hot,half,low,"[25,12,21,33]","['comfort','warm_spice','light_healthy']",0.82
290,Iced Brown Sugar Oat Shaken Espresso,coffee,iced,half,high,"[1,12,22,36]","['energy_boost','house_favorite']",0.89
291,Strawberry Matcha Latte,tea,iced,regular,low,"[26,44,10,36]","['fruity','comfort']",0.83
292,Mango Coconut Refresher,refresher,iced,regular,none,"[45,38,47,36]","['fruity','refreshing']",0.87
293,Mocha Cookie Crumble Frappe,frappe,blended,regular,high,"[1,4,19,20,29,36]","['dessert','house_favorite']",0.90
294,Vanilla Bean Pistachio Frappe,frappe,blended,regular,low,"[4,10,13,29,36]","['dessert','nutty']",0.83
295,Toasted White Chocolate Cold Brew,coffee,iced,regular,high,"[2,4,20,22,36]","['dessert','house_favorite']",0.89
296,Hot White Chocolate Strawberry Mocha,coffee,hot,regular,medium,"[3,20,44,33]","['dessert','fruity','comfort']",0.86
297,Iced White Chocolate Strawberry Mocha,coffee,iced,regular,medium,"[1,20,44,36,33]","['dessert','fruity','refreshing']",0.85
298,White Chocolate Matcha Latte,tea,hot,half,low,"[26,20,10,33]","['comfort','light_healthy']",0.82
299,Iced White Chocolate Coconut Latte,coffee,iced,regular,medium,"[1,20,38,36]","['dessert','refreshing']",0.84
300,Peppermint White Chocolate Mocha,coffee,hot,regular,medium,"[3,20,40,33]","['dessert','seasonal','warm_spice']",0.87
301,Gingerbread White Chocolate Latte,coffee,hot,regular,medium,"[3,20,41,21,33]","['dessert','seasonal','warm_spice','comfort']",0.88
302,White Chocolate Strawberry Creme Frappe,frappe,blended,regular,low,"[4,20,44,29,36]","['dessert','fruity','house_favorite']",0.9
303,White Chocolate Berry Yogurt Smoothie,smoothie,blended,regular,none,"[7,20,28,29,36]","['dessert','fruity','comfort']",0.83

    
